user_id,course_id,enrolment-date,country,date_joined,grade,date_earned,joined_time,enrolment_time,earned_time,organisation,course_number,modules_attempted
15,course-v1,2024-09-23 11:11:12.038,,2024-08-26 12:23:21.298,0.0,,12:23:21,11:11:12,,UGA,MC36v1,0
15,course-v1,2024-08-26 12:35:19.345,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:35:19,,UGA,MC37v1,0
15,course-v1,2024-10-08 10:12:10.551,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:12:10,,UGA,MC38v1,34
15,course-v1,2025-02-06 14:04:21.012,,2024-08-26 12:23:21.298,0.0,,12:23:21,14:04:21,,UNIPAR,MC08v1,3
15,course-v1,2024-09-09 12:29:08.807,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:29:08,,UNIPAR,MC09v1,0
15,course-v1,2024-09-23 10:46:43.219,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:46:43,,UNISS,MC22v1,0
15,course-v1,2024-09-23 10:54:03.866,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:54:03,,UNISS,MC23v1,0
15,course-v1,2024-12-20 14:17:08.716,,2024-08-26 12:23:21.298,0.0,,12:23:21,14:17:08,,UNISS,MC24v1,18
15,course-v1,2024-10-07 11:03:20.541,,2024-08-26 12:23:21.298,0.0,,12:23:21,11:03:20,,UNISS,MC25v1,30
15,course-v1,2024-11-05 14:05:36.156,,2024-08-26 12:23:21.298,0.0,,12:23:21,14:05:36,,UNISS,MC26v2,0
15,course-v1,2024-09-09 12:07:38.708,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:07:38,,UPV,MC21v1,0
20,course-v1,2024-09-05 11:40:14.500,,2024-09-05 11:38:56.795,0.0,,11:38:56,11:40:14,,UNISS,MC26v2,0
20,course-v1,2024-11-08 15:04:53.678,,2024-09-05 11:38:56.795,0.0,,11:38:56,15:04:53,,UPV,MC20v1,2
24,course-v1,2024-09-18 04:36:58.921,,2024-09-18 04:33:50.022,0.0,,04:33:50,04:36:58,,NUIM,MC06v1,1
27,course-v1,2024-10-16 14:41:54.972,,2024-09-24 11:21:00.566,0.0,2024-10-16 15:59:05.736,11:21:00,14:41:54,15:59:05,DTU,MC27v1,58
